dataset,best_condition_by_nmi,nmi_mean,ari_mean,delta_nmi_vs_baseline,delta_ari_vs_baseline
citeseer,G17_V5_temp15,0.29836346525214746,0.28166394558605795,0.1896904651069929,0.17103819862306546
computers,G15_ECHF_noadapt,0.003980700193964965,0.0015624237045069817,0.000735930159316109,0.0018861979500518155
cora,G17_V5_temp15,0.45405535060210767,0.36859251737661874,0.03806897341288762,0.04850832085965834
photo,G17_V5_temp15,0.15677238190662446,0.0977665181914062,0.07619639942187074,0.06793132135236656
pubmed,G17_V5_temp15,0.23740018752555347,0.18746671453490968,0.020979527122142877,0.017492512519980963
