dataset,best_condition_by_nmi,nmi_mean,ari_mean,delta_nmi_vs_baseline,delta_ari_vs_baseline
citeseer,B5_V5_mid_no_adapt,0.0027086054639354554,-0.00010502348253318542,5.105810038978989e-05,3.537643964400163e-05
computers,B0_V1_baseline,0.01595193686129753,0.005522627629819618,0.0,0.0
cora,B3_V4_hybrid_pre,0.005086907602334568,0.00019195492290083639,4.810993395437495e-05,5.824448131429473e-05
photo,B4_V5_mid_adapt,0.0023798982903594896,0.00013801624629283,7.574242882438763e-05,-8.050759172524073e-05
pubmed,B4_V5_mid_adapt,0.1503488038698423,0.11836366013867977,0.08959370691205235,0.07009137965687345
