condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,seconds_mean,base_nmi,base_ari,delta_nmi_vs_baseline,delta_ari_vs_baseline
B0_V1_baseline,citeseer,3,0.0026575473635456655,0.0004563314836121948,-0.00014039992217718705,0.00032113813099687307,4.178831895192464,0.0026575473635456655,-0.00014039992217718705,0.0,0.0
B0_V1_baseline,computers,3,0.01595193686129753,0.024558077053643844,0.005522627629819618,0.01025127669695219,19.009549299875896,0.01595193686129753,0.005522627629819618,0.0,0.0
B0_V1_baseline,cora,3,0.0050387976683801934,0.0005305738453945399,0.00013371044158654166,0.0004444453786250077,4.641745964686076,0.0050387976683801934,0.00013371044158654166,0.0,0.0
B0_V1_baseline,photo,3,0.002304155861535102,0.0008399068502079081,0.00021852383801807072,0.00035028610070793055,5.7519644896189375,0.002304155861535102,0.00021852383801807072,0.0,0.0
B0_V1_baseline,pubmed,3,0.06075509695778996,0.10449283167149682,0.04827228048180632,0.08404756622333837,27.624520778656006,0.06075509695778996,0.04827228048180632,0.0,0.0
B1_V2_struct_pre,citeseer,3,0.002604419813214866,0.00049462415246723,-0.00017242180070730436,0.0003061848118991933,4.150609254837036,0.0026575473635456655,-0.00014039992217718705,-5.312755033079963e-05,-3.2021878530117304e-05
B1_V2_struct_pre,computers,3,0.0031213643713416095,0.001699655925065858,0.0001741645755700882,0.0011776155386031123,16.997907400131226,0.01595193686129753,0.005522627629819618,-0.01283057248995592,-0.00534846305424953
B1_V2_struct_pre,cora,3,0.004511078796470479,0.0008089817393497667,-0.00011743889338148113,0.00010549656911715734,4.567829449971517,0.0050387976683801934,0.00013371044158654166,-0.0005277188719097145,-0.0002511493349680228
B1_V2_struct_pre,photo,3,0.0022937809451375854,0.0007137555193541538,0.00022420846607558532,0.0002626099221142983,5.670918226242065,0.002304155861535102,0.00021852383801807072,-1.0374916397516525e-05,5.684628057514601e-06
B1_V2_struct_pre,pubmed,3,0.1449603198820214,0.13323238729726822,0.11109208419679413,0.11728380979226236,52.36288674672445,0.06075509695778996,0.04827228048180632,0.08420522292423144,0.06281980371498781
B2_V3_feat_pre,citeseer,3,0.002646179165778867,0.0004904928497027845,-0.00014650188901091333,0.0003310011533993265,4.14871613184611,0.0026575473635456655,-0.00014039992217718705,-1.1368197766798479e-05,-6.10196683372628e-06
B2_V3_feat_pre,computers,3,0.003537163821718915,0.003193825260596813,0.0005619580911176832,0.0017070523361542376,16.38659993807475,0.01595193686129753,0.005522627629819618,-0.012414773039578615,-0.004960669538701935
B2_V3_feat_pre,cora,3,0.005011869277173995,0.0005093605946526647,0.00011983731893278734,0.0004597027313413494,4.587034622828166,0.0050387976683801934,0.00013371044158654166,-2.692839120619836e-05,-1.3873122653754321e-05
B2_V3_feat_pre,photo,3,0.002314298566975429,0.000809367750265549,0.00024173086036827793,0.0003303905105091883,6.007052898406982,0.002304155861535102,0.00021852383801807072,1.0142705440327124e-05,2.3207022350207212e-05
B2_V3_feat_pre,pubmed,3,0.06092529869352072,0.10479682929868235,0.04844875432037484,0.08436316048454433,26.993117094039917,0.06075509695778996,0.04827228048180632,0.0001702017357307628,0.00017647383856852356
B3_V4_hybrid_pre,citeseer,3,0.0026419237900280495,0.0005207535316597138,-0.00014571289247989014,0.00032094729730375895,4.176879803339641,0.0026575473635456655,-0.00014039992217718705,-1.5623573517615976e-05,-5.312970302703086e-06
B3_V4_hybrid_pre,computers,3,0.00355719166924442,0.002988607124848342,0.0004466893852361059,0.0017269413583820886,16.893045981725056,0.01595193686129753,0.005522627629819618,-0.01239474519205311,-0.005075938244583512
B3_V4_hybrid_pre,cora,3,0.005086907602334568,0.0004888829915430268,0.00019195492290083639,0.0005141422465440638,4.538716554641724,0.0050387976683801934,0.00013371044158654166,4.810993395437495e-05,5.824448131429473e-05
B3_V4_hybrid_pre,photo,3,0.0023076344012354223,0.0007934379349687933,0.00021689485115127907,0.00031089727444314234,6.001253525416057,0.002304155861535102,0.00021852383801807072,3.47853970032036e-06,-1.6289868667916467e-06
B3_V4_hybrid_pre,pubmed,3,0.060729762527736146,0.10445043438128922,0.04816168625084313,0.08384499939589897,26.899476607640583,0.06075509695778996,0.04827228048180632,-2.533443005381386e-05,-0.00011059423096318466
B4_V5_mid_adapt,citeseer,3,0.0026725223949504925,0.0004989852064076374,-0.00012086069108761841,0.0003515474604885815,4.244093418121338,0.0026575473635456655,-0.00014039992217718705,1.497503140482706e-05,1.953923108956864e-05
B4_V5_mid_adapt,computers,3,0.0016010142719486374,0.00024653813393715507,-0.00020174082291387374,0.0008773514432619922,6.727387984593709,0.01595193686129753,0.005522627629819618,-0.014350922589348893,-0.005724368452733492
B4_V5_mid_adapt,cora,3,0.005060138175628486,0.0003601756912531554,0.00020836189375313306,0.0005126504638525882,4.5383172035217285,0.0050387976683801934,0.00013371044158654166,2.134050724829275e-05,7.46514521665914e-05
B4_V5_mid_adapt,photo,3,0.0023798982903594896,0.00021280349836006878,0.00013801624629283,0.0001612297090010512,6.135236819585164,0.002304155861535102,0.00021852383801807072,7.574242882438763e-05,-8.050759172524073e-05
B4_V5_mid_adapt,pubmed,3,0.1503488038698423,0.13038902880034597,0.11836366013867977,0.10348852752617857,53.08088755607605,0.06075509695778996,0.04827228048180632,0.08959370691205235,0.07009137965687345
B5_V5_mid_no_adapt,citeseer,3,0.0027086054639354554,0.0006868414407142741,-0.00010502348253318542,0.00037452418856871034,4.227354844411214,0.0026575473635456655,-0.00014039992217718705,5.105810038978989e-05,3.537643964400163e-05
B5_V5_mid_no_adapt,computers,3,0.0016652527133929438,0.0002625945509990297,-0.00013590468589668773,0.0008355250718401691,6.7692272663116455,0.01595193686129753,0.005522627629819618,-0.014286684147904585,-0.0056585323157163055
B5_V5_mid_no_adapt,cora,3,0.005025045915754508,0.0004003009701377326,0.00015223782019018275,0.0004501933032785587,4.515246868133545,0.0050387976683801934,0.00013371044158654166,-1.375175262568508e-05,1.8527378603641094e-05
B5_V5_mid_no_adapt,photo,3,0.0022985362557243574,0.0002366735012196879,9.425886126288518e-05,0.0001673922884840898,5.981337547302246,0.002304155861535102,0.00021852383801807072,-5.6196058107445615e-06,-0.00012426497675518554
B5_V5_mid_no_adapt,pubmed,3,0.14958779743528325,0.12927819607904162,0.11846901543341466,0.10349881884235364,53.04354770978292,0.06075509695778996,0.04827228048180632,0.08883270047749328,0.07019673495160834
