condition,datasets_covered,mean_nmi,mean_ari,mean_delta_nmi_vs_baseline,mean_delta_ari_vs_baseline,win_rate_nmi_vs_baseline,win_rate_ari_vs_baseline,mean_seconds,avg_nmi_std,avg_ari_std,tail_p10_delta_nmi,tail_p10_delta_ari,min_delta_nmi,min_delta_ari,worse_datasets_nmi,worse_datasets_ari,rank_score
G17_temp1p5,5,0.22966629922810466,0.18711224703558388,0.0646861411766671,0.061073133417908584,0.8,1.0,33.474244149525965,0.05021757622628024,0.04475350454936765,0.007489015340521972,0.007234193248675365,-0.0015046591805586325,0.00039531373447163184,1,0,0.3072570776626801
G15_default,5,0.21958206383162765,0.17692112929549,0.05460190578019013,0.05088201567781472,0.8,1.0,35.42836480140686,0.060759402116220905,0.04852347423298272,0.0021565687906152267,0.002564759068913814,-0.0004021210389915553,0.0008703157037543811,1,0,0.2859152352161279
G15_noadapt,5,0.2052571941211508,0.17281453934900948,0.040277036069713223,0.046775425731334204,0.8,0.8,35.44153933525085,0.04476175724365829,0.04212930221234805,-0.010903847199458687,-0.002773995326134914,-0.01866369877197522,-0.005880790843592734,1,1,0.24487169236115572
BASE_B0_V1,5,0.16498015805143756,0.12603911361767528,0.0,0.0,0.0,0.0,33.07870306968689,0.023998507658573077,0.018084238921439594,0.0,0.0,0.0,0.0,5,5,0.0
