dataset,seed,condition,version,status,seconds,nmi,ari,metrics_path,log_path,stderr_tail
citeseer,1,B0_V1_baseline,benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s1,ok,6.671819448471069,0.09652716738932321,0.06557196219568086,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s1/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s1/citeseer.log,INFO - 02/19/26 20:49:45 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s1/citeseer_metrics.json
citeseer,2,B0_V1_baseline,benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s2,ok,6.47926926612854,0.090077773808368,0.10824342150003645,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s2/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s2/citeseer.log,INFO - 02/19/26 20:49:52 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_citeseer_s2/citeseer_metrics.json
citeseer,0,B15_ECHF_s60,benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s0,ok,6.849615573883057,0.0729175522515872,0.07389691296998403,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s0/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s0/citeseer.log,INFO - 02/19/26 20:49:59 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s0/citeseer_metrics.json
citeseer,1,B15_ECHF_s60,benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s1,ok,6.738414764404297,0.0955356847856011,0.07158071723240145,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s1/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s1/citeseer.log,INFO - 02/19/26 20:50:06 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s1/citeseer_metrics.json
citeseer,2,B15_ECHF_s60,benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s2,ok,6.938151597976685,0.09269433252222366,0.1075794195809444,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s2/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s2/citeseer.log,INFO - 02/19/26 20:50:12 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_citeseer_s2/citeseer_metrics.json
citeseer,0,B15_ECHF_main,benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s0,ok,6.9516685009002686,0.07253391516985698,0.073981531362627,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s0/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s0/citeseer.log,INFO - 02/19/26 20:50:19 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s0/citeseer_metrics.json
citeseer,1,B15_ECHF_main,benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s1,ok,6.889794588088989,0.0949828824601187,0.07194198586172626,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s1/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s1/citeseer.log,INFO - 02/19/26 20:50:26 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s1/citeseer_metrics.json
citeseer,2,B15_ECHF_main,benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s2,ok,6.930894136428833,0.09226614371351043,0.10840824996580675,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s2/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s2/citeseer.log,INFO - 02/19/26 20:50:33 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_citeseer_s2/citeseer_metrics.json
photo,0,B0_V1_baseline,benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s0,ok,10.652822494506836,0.1258006579634156,0.07001120397768998,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s0/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s0/photo.log,INFO - 02/19/26 20:50:44 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s0/photo_metrics.json
photo,1,B0_V1_baseline,benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s1,ok,10.070305824279785,0.0014758689792362077,-0.00022875105626732507,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s1/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s1/photo.log,INFO - 02/19/26 20:50:54 - 0:00:07 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s1/photo_metrics.json
photo,2,B0_V1_baseline,benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s2,ok,10.08461594581604,0.0024053549679480153,0.00011029517536253161,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s2/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s2/photo.log,INFO - 02/19/26 20:51:04 - 0:00:07 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B0_V1_baseline_photo_s2/photo_metrics.json
photo,0,B15_ECHF_s60,benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s0,ok,11.294708728790283,0.14696237430114786,0.08671588323841052,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s0/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s0/photo.log,INFO - 02/19/26 20:51:15 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s0/photo_metrics.json
photo,1,B15_ECHF_s60,benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s1,ok,11.04157304763794,0.0013299815134594321,-0.00015726804815924117,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s1/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s1/photo.log,INFO - 02/19/26 20:51:26 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s1/photo_metrics.json
photo,2,B15_ECHF_s60,benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s2,ok,11.124354124069214,0.013994660582376115,0.006254885776847075,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s2/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s2/photo.log,INFO - 02/19/26 20:51:38 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_s60_photo_s2/photo_metrics.json
photo,0,B15_ECHF_main,benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s0,ok,11.174169301986694,0.14599242512892044,0.08827154962505207,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s0/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s0/photo.log,INFO - 02/19/26 20:51:49 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s0/photo_metrics.json
photo,1,B15_ECHF_main,benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s1,ok,10.994084358215332,0.0013570216294397325,-0.00017611101021078101,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s1/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s1/photo.log,INFO - 02/19/26 20:52:00 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s1/photo_metrics.json
photo,2,B15_ECHF_main,benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s2,ok,11.036967515945435,0.009008396911007736,0.003591700737912275,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s2/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s2/photo.log,INFO - 02/19/26 20:52:11 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v2_s012_B15_ECHF_main_photo_s2/photo_metrics.json
