dataset,best_condition_by_nmi,nmi_mean,ari_mean,delta_nmi_vs_baseline,delta_ari_vs_baseline
citeseer,B17_PATHA_on_V5,0.29509995115251236,0.2749467424679177,0.18578266810234473,0.16411061253258213
computers,B0_V1_baseline,0.0046903122774387095,0.0011135174927881547,0.0,0.0
cora,B5_V5_mid_no_adapt,0.4496297197274512,0.3617696891726246,0.03435335266482131,0.04093572716663474
photo,B5_V5_mid_no_adapt,0.19317899028154562,0.12220984937125993,0.11121985345162302,0.09047076482269076
pubmed,B17_PATHA_on_V5,0.2406923555964354,0.19245361536001362,0.02405048674990201,0.022673693165651404
