dataset,nmi_g15,nmi_g17,delta_nmi_g15_minus_g17,ari_g15,ari_g17,delta_ari_g15_minus_g17,sec_g15,sec_g17,delta_sec_g15_minus_g17,winner_by_nmi
urban_beijing_plot,0.01037113500960927,0.010500272802581699,-0.0001291377929724287,-1.632440036876549e-05,-1.7021450192820094e-05,6.970498240546046e-07,79.91724944114685,75.78710603713989,4.130143404006958,G17_V5_temp15
urban_chicago_plot,0.011082102733526845,0.011081886942505979,2.157910208664543e-07,4.502942935993798e-05,2.594442938028606e-05,1.9084999979651922e-05,36.81466341018677,36.41812705993652,0.39653635025024414,G15_ECHF_main
urban_paris_plot,0.015872838129464103,0.015638102860405984,0.00023473526905811934,6.143221789008391e-05,2.543050420621768e-05,3.600171368386623e-05,9.41843295097351,8.623653650283813,0.7947793006896973,G15_ECHF_main
