condition,datasets_covered,mean_nmi,mean_ari,mean_delta_nmi_vs_baseline,mean_delta_ari_vs_baseline,win_rate_nmi_vs_baseline,win_rate_ari_vs_baseline,mean_seconds,rank_score
B4_V5_mid_adapt,5,0.032412475400545884,0.023677487352944847,0.015070968458036193,0.012876138859134176,0.8,0.6,14.945184596379596,0.21700238928690632
B5_V5_mid_no_adapt,5,0.0322570475568181,0.02369491678928757,0.014915540614308411,0.012893568295476898,0.4,0.6,14.907342847188314,0.11684957585862996
B2_V3_feat_pre,5,0.014886961905033585,0.009845155740356536,-0.0024545450374761045,-0.0009561927534541369,0.4,0.4,11.624504137039185,0.09740202604950578
B3_V4_hybrid_pre,5,0.014864683998115722,0.009774302503530292,-0.002476822944393969,-0.0010270459902803793,0.4,0.2,11.701874494552612,0.09736912015706398
B1_V2_struct_pre,5,0.03149819276163719,0.022240119308870203,0.014156685819127495,0.011438770815059531,0.2,0.4,16.75003021558126,0.06587250144138643
B0_V1_baseline,5,0.01734150694250969,0.010801348493810672,0.0,0.0,0.0,0.0,12.241322485605876,0.0
