condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,seconds_mean,base_nmi,base_ari,delta_nmi_vs_baseline,delta_ari_vs_baseline
B0_V1_baseline,citeseer,3,0.10931728305016764,0.018677962378088716,0.11083612993533558,0.011560928752105848,11.591944535573324,0.10931728305016764,0.11083612993533558,0.0,0.0
B0_V1_baseline,computers,3,0.0046903122774387095,0.002336857112537876,0.0011135174927881547,0.0024675664876983483,47.953308979670204,0.0046903122774387095,0.0011135174927881547,0.0,0.0
B0_V1_baseline,cora,3,0.4152763670626299,0.028761988829885312,0.32083396200598985,0.03378857829658013,10.783321380615234,0.4152763670626299,0.32083396200598985,0.0,0.0
B0_V1_baseline,photo,3,0.08195913682992259,0.06136545711357954,0.03173908454856917,0.026161221228135585,22.97227136294047,0.08195913682992259,0.03173908454856917,0.0,0.0
B0_V1_baseline,pubmed,3,0.2166418688465334,0.011044040730208295,0.16977992219436222,0.021918327687857033,76.22185134887695,0.2166418688465334,0.16977992219436222,0.0,0.0
B12_V12_residual_calibrated,citeseer,3,0.28901765761871356,0.06403454807678223,0.29468956579922323,0.053376922773829404,12.41034166018168,0.10931728305016764,0.11083612993533558,0.17970037456854593,0.18385343586388764
B12_V12_residual_calibrated,computers,3,0.002895302397018915,0.00022283423248455994,0.0005156400803947241,0.0008097929976826741,50.10838373502096,0.0046903122774387095,0.0011135174927881547,-0.0017950098804197945,-0.0005978774123934306
B12_V12_residual_calibrated,cora,3,0.4247944336447113,0.05480890921656953,0.3318805399946992,0.055463945106386574,11.163885116577148,0.4152763670626299,0.32083396200598985,0.00951806658208143,0.011046577988709338
B12_V12_residual_calibrated,photo,3,0.15355250954285973,0.15881392796328672,0.09630873674174667,0.12601232915578273,24.341546614964802,0.08195913682992259,0.03173908454856917,0.07159337271293714,0.0645696521931775
B12_V12_residual_calibrated,pubmed,3,0.2229005725057448,0.02749833432327219,0.17485310177093175,0.038089352588221194,76.50152309735616,0.2166418688465334,0.16977992219436222,0.006258703659211412,0.005073179576569525
B14_PATHA_only_v1,citeseer,3,0.10290141498957228,0.024127963893370522,0.09886058922197803,0.0196654518393823,11.415657917658487,0.10931728305016764,0.11083612993533558,-0.006415868060595353,-0.011975540713357546
B14_PATHA_only_v1,computers,3,0.002684502328707443,0.0002756227655017141,-0.00025198155473639037,0.0005521833772471185,47.46869651476542,0.0046903122774387095,0.0011135174927881547,-0.0020058099487312666,-0.0013654990475245451
