condition,dataset,seed,nmi,ari,acc,si_loss,modularity,conductance_mean,seconds,metrics_path
G15_ECHF_main,urban_bangkok_plot,0,0.019654315969962775,0.0004551490744293903,0.03371035706365048,,,0.9802678823471069,,results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_bangkok_plot_s0/urban_bangkok_plot_metrics.json
G15_ECHF_main,urban_bangkok_plot,1,0.02109481748827705,0.00043687144936911887,0.03304502106897316,,,0.9804339408874512,,results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_bangkok_plot_s1/urban_bangkok_plot_metrics.json
G17_V5_temp15,urban_bangkok_plot,0,0.019846496305835386,0.0004170328052250938,0.03282324240408073,,,0.9811062812805176,,results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_bangkok_plot_s0/urban_bangkok_plot_metrics.json
G17_V5_temp15,urban_bangkok_plot,1,0.020501360962787218,0.00029450304023274064,0.03237968507429585,,,0.9810948371887207,,results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_bangkok_plot_s1/urban_bangkok_plot_metrics.json
G17_V5_temp15,urban_beijing_plot,0,0.014215131679484232,0.00057987715848046,0.04071122011036174,,,0.9787681102752686,,results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_beijing_plot_s0/urban_beijing_plot_metrics.json
