dataset,best_condition_by_nmi,nmi_mean,ari_mean,acc_mean,si_loss_mean,modularity_mean,conductance_mean,conductance_weighted_mean,delta_nmi_vs_baseline,delta_ari_vs_baseline
urban_bangkok_plot,G15_default_hetero,0.019314404656024405,0.00024947545830908267,0.030679381976787167,14.700865745544434,0.004891568173964818,0.9798700412114462,0.9792473912239075,,
urban_beijing_plot,G15_default_hetero,0.013792138091168095,0.0003674819888707151,0.03850398528510116,15.983476003011068,0.005834534764289856,0.9791249632835388,0.9782868226369222,,
urban_boston_plot,G15_default_hetero,0.05088458947699762,-0.0004526570397930349,0.03793328973185088,12.529141426086426,0.0061580998202164965,0.9791195591290792,0.9777662555376688,,
urban_chicago_plot,G15_default_hetero,0.013643763540363112,0.0006410095575743747,0.02996710378081204,15.52794329325358,0.008118734384576479,0.9772611856460571,0.9758836030960083,,
urban_johannesburg_plot,G15_default_hetero,0.03625101913061073,0.0010934821469862717,0.03575063613231552,15.054558753967285,0.007152987023194631,0.9779907464981079,0.9769114255905151,,
urban_madrid_plot,G15_default_hetero,0.010197540527935528,0.00041750111247941096,0.034007267306438084,15.019987424214682,0.006382849688331286,0.9786024292310079,0.9777200619379679,,
urban_melbourne_plot,G15_default_hetero,0.02334625552503872,0.0009547482154577437,0.03356264331874088,14.5196320215861,0.0069039979328711825,0.9781490365664164,0.9771425724029541,,
urban_paris_plot,G15_default_hetero,0.01738572826651927,0.00047253829819339353,0.03006959929724981,12.698607762654623,0.002129562199115753,0.9823072751363119,0.9820201595624288,,
urban_shanghai_plot,G17_temp1p5_mainline,0.013998910579040375,0.00044300512674824927,0.031137785985431415,15.386932373046875,0.0050490306069453554,0.9797582825024923,0.9791079759597778,,
urban_singapore_plot,G15_default_hetero,0.026871052293314268,0.00025492655698449573,0.0363384484228474,14.15084966023763,0.0036899993817011514,0.9811246395111084,0.9804365436236063,,
urban_sydney_plot,G15_default_hetero,0.017793656067209677,0.0015453556921062768,0.03111441675963803,14.855780919392904,0.004690185810128848,0.9802563190460205,0.979393462340037,,
urban_tokyo_plot,G15_default_hetero,0.004447933046191816,0.00024030886755965273,0.024934330167710645,15.97165044148763,0.005304987231890361,0.979472796122233,0.9788634379704794,,
urban_washingtondc_plot,G15_default_hetero,0.03645658232347085,0.0010327860932907288,0.03656982670744138,13.601727485656738,0.0060012924174467725,0.9789938529332479,0.978046735127767,,
