condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,acc_mean,nmi_trial_std_mean,ari_trial_std_mean,stability_pair_nmi_mean,si_loss_mean,modularity_mean,conductance_mean,conductance_weighted_mean,pred_n_clusters_mean,pred_cluster_size_cv_mean,known_label_ratio_mean,seconds_mean
G15_ECHF_main,urban_bangkok_plot,3,0.019314404656024405,0.001600459190471607,0.00024947545830908267,0.00011884681614443791,0.030679381976787167,0.0,1.807003620809174e-20,1.0,14.700865745544434,0.004891568173964818,0.9798700412114462,0.9792473912239075,64.0,0.20265823105971018,0.09137888997793198,75.62219381332397
G15_ECHF_main,urban_beijing_plot,3,0.013792138091168095,0.0031318411623475245,0.0003674819888707151,0.0003079727205232706,0.03850398528510116,5.782411586589357e-19,1.807003620809174e-20,1.0,15.983476003011068,0.005834534764289856,0.9791249632835388,0.9782868226369222,64.0,0.1284908577799797,0.08352366089820862,216.22566405932108
G15_ECHF_main,urban_boston_plot,3,0.05088458947699762,0.0030530721265840948,-0.0004526570397930349,0.00011318078304886331,0.03793328973185088,0.0,3.614007241618348e-20,1.0,12.529141426086426,0.0061580998202164965,0.9791195591290792,0.9777662555376688,64.0,0.18720505138238272,0.16730496287345886,18.922858317693073
G15_ECHF_main,urban_chicago_plot,3,0.013643763540363112,0.0009276376731234534,0.0006410095575743747,0.00011513820211084424,0.02996710378081204,5.782411586589357e-19,0.0,1.0,15.52794329325358,0.008118734384576479,0.9772611856460571,0.9758836030960083,64.0,0.15150577326615652,0.12050174921751022,92.83284974098206
G15_ECHF_main,urban_johannesburg_plot,3,0.03625101913061073,0.0022795335632328924,0.0010934821469862717,0.0002208176531471626,0.03575063613231552,0.0,0.0,1.0,15.054558753967285,0.007152987023194631,0.9779907464981079,0.9769114255905151,64.0,0.12988438457250595,0.05499003082513809,73.49742325146993
G15_ECHF_main,urban_madrid_plot,3,0.010197540527935528,0.0014123465611030565,0.00041750111247941096,0.0002593106910875262,0.034007267306438084,5.782411586589357e-19,0.0,1.0,15.019987424214682,0.006382849688331286,0.9786024292310079,0.9777200619379679,64.0,0.14149682720502219,0.2143384963274002,77.55296150843303
G15_ECHF_main,urban_melbourne_plot,3,0.02334625552503872,0.0023412552863813635,0.0009547482154577437,0.00047515215338295256,0.03356264331874088,2.3129646346357427e-18,0.0,1.0,14.5196320215861,0.0069039979328711825,0.9781490365664164,0.9771425724029541,64.0,0.13684693227211633,0.15211670100688934,52.49336242675781
G15_ECHF_main,urban_paris_plot,3,0.01738572826651927,0.001441704356480832,0.00047253829819339353,0.00022133946796789867,0.03006959929724981,0.0,3.614007241618348e-20,1.0,12.698607762654623,0.002129562199115753,0.9823072751363119,0.9820201595624288,64.0,0.10847133149703343,0.5996110439300537,17.74699091911316
G15_ECHF_main,urban_shanghai_plot,3,0.01393192429402826,0.001320579305781406,0.00045845278232010326,0.00030786522399064,0.03057350979788653,1.1564823173178713e-18,0.0,1.0,15.41855239868164,0.005119524896144867,0.9796826839447021,0.9790391127268473,64.0,0.12436192979415257,0.09379330277442932,104.64840324719746
G15_ECHF_main,urban_singapore_plot,3,0.026871052293314268,0.0018307608354793147,0.00025492655698449573,0.00028978233811453044,0.0363384484228474,1.1564823173178713e-18,2.2587545260114674e-21,1.0,14.15084966023763,0.0036899993817011514,0.9811246395111084,0.9804365436236063,64.0,0.09135252485672633,0.10384781658649445,49.60226821899414
G15_ECHF_main,urban_sydney_plot,3,0.017793656067209677,0.0021082897255656477,0.0015453556921062768,0.0005431698258117792,0.03111441675963803,0.0,7.228014483236696e-20,1.0,14.855780919392904,0.004690185810128848,0.9802563190460205,0.979393462340037,64.0,0.12932749589284262,0.16741377115249634,76.80234289169312
G15_ECHF_main,urban_tokyo_plot,3,0.004447933046191816,0.00026576399790819257,0.00024030886755965273,2.7020665008282947e-05,0.024934330167710645,0.0,0.0,1.0,15.97165044148763,0.005304987231890361,0.979472796122233,0.9788634379704794,64.0,0.16255882382392883,0.28752192854881287,129.21111194292703
G15_ECHF_main,urban_washingtondc_plot,3,0.03645658232347085,0.0031682095668366774,0.0010327860932907288,0.000682327509455118,0.03656982670744138,0.0,3.614007241618348e-20,1.0,13.601727485656738,0.0060012924174467725,0.9789938529332479,0.978046735127767,64.0,0.13469024995962778,0.16186115145683289,29.591434717178345
G17_V5_temp15,urban_bangkok_plot,3,0.018965926106569716,0.0017112726476553274,0.00020526668008354111,0.00010907535977941059,0.029496562430694165,0.0,0.0,1.0,14.632506370544434,0.004125353569785754,0.9805566867192587,0.980026364326477,64.0,0.16815868516763052,0.09137888997793198,79.48206845919292
G17_V5_temp15,urban_beijing_plot,3,0.013576593495439422,0.0029304936077431225,0.00035488162282226667,0.0002845383467392015,0.03846311056611485,0.0,0.0,1.0,15.935938517252604,0.005431395024061203,0.9794773062070211,0.9787084658940634,64.0,0.12134324262539546,0.08352366089820862,206.4558900197347
G17_V5_temp15,urban_boston_plot,3,0.049996820623428494,0.0021770533030468966,-0.0004497749064734406,0.0001256500458293184,0.03793328973185088,2.3129646346357427e-18,0.0,1.0,12.490585645039877,0.005486598238348961,0.9797027905782064,0.97841876745224,64.0,0.17104498048623404,0.16730496287345886,18.621812740961712
G17_V5_temp15,urban_chicago_plot,3,0.01322848973283359,0.0006773099717189397,0.0005052203052645954,0.00016329384942402776,0.029246090757514307,0.0,0.0,1.0,15.471322695414225,0.007483309134840965,0.9777553876241049,0.97654128074646,64.0,0.15800015131632486,0.12050174921751022,92.00327285130818
G17_V5_temp15,urban_johannesburg_plot,3,0.03592731358492479,0.002434755018080894,0.000964852356152467,0.00030352182885404606,0.0356234096692112,0.0,0.0,1.0,14.963558832804361,0.006127345686157544,0.9788715243339539,0.977963368097941,64.0,0.1228608563542366,0.05499003082513809,73.11589201291402
G17_V5_temp15,urban_madrid_plot,3,0.010162621189149101,0.0010573458882538957,0.00039406952074358246,0.0002691841008319304,0.03366564179011771,0.0,1.807003620809174e-20,1.0,14.956008593241373,0.005739650999506314,0.9791620572408041,0.9783781170845032,64.0,0.14111236979564032,0.2143384963274002,76.41635815302531
G17_V5_temp15,urban_melbourne_plot,3,0.022481247878797624,0.001493212762092306,0.0008242103625953393,0.00035514312579986183,0.0327287888263498,2.3129646346357427e-18,0.0,1.0,14.457618395487467,0.006105830892920494,0.9788427551587423,0.9779664675394694,64.0,0.12986433257659277,0.15211670100688934,48.72427495320638
G17_V5_temp15,urban_paris_plot,3,0.017367411204694542,0.0011022664881204835,0.00042777270723608316,0.00016078171780232176,0.029596594364484086,0.0,0.0,1.0,12.64983876546224,0.002015323688586553,0.982390562693278,0.9821191628774008,64.0,0.10733428597450256,0.5996110439300537,17.307719389597576
G17_V5_temp15,urban_shanghai_plot,3,0.013998910579040375,0.0014903135531084066,0.00044300512674824927,0.0003397362041092765,0.031137785985431415,0.0,0.0,1.0,15.386932373046875,0.0050490306069453554,0.9797582825024923,0.9791079759597778,64.0,0.11962143828471501,0.09379330277442932,106.76540040969849
G17_V5_temp15,urban_singapore_plot,3,0.026527455066001796,0.0019371295105251461,0.00013517209818465694,0.00021311733955612237,0.034633418584825236,0.0,9.03501810404587e-21,1.0,14.08669408162435,0.002756421764691671,0.9819256862004598,0.9813953240712484,64.0,0.07881729304790497,0.10384781658649445,48.52147380510966
G17_V5_temp15,urban_sydney_plot,3,0.014816013243152256,0.001185897359594813,0.0010057146072304669,0.00030773652196101995,0.029998760381802405,0.0,0.0,1.0,14.77367083231608,0.0032500183830658593,0.9814708828926086,0.9808158278465271,64.0,0.10730565339326859,0.16741377115249634,71.9708952109019
G17_V5_temp15,urban_tokyo_plot,3,0.0044036588307420224,0.0003246253029111916,0.0002394356561149689,3.0540860383020474e-05,0.025082508250825083,0.0,0.0,1.0,15.915505727132162,0.005143342539668083,0.979602038860321,0.9790290594100952,64.0,0.17721757789452872,0.28752192854881287,128.70966243743896
G17_V5_temp15,urban_washingtondc_plot,3,0.03638502105044925,0.00209288180638757,0.0009385354804532695,0.000597784678366385,0.03580530071355759,0.0,7.228014483236696e-20,1.0,13.546135902404785,0.005257595330476761,0.9796547691027323,0.978799025217692,64.0,0.13032441337903342,0.16186115145683289,29.531113386154175
