dataset,nmi_60,nmi_100,ari_60,ari_100,sec_60,sec_100,delta_nmi_100_minus_60,delta_ari_100_minus_60,delta_sec_100_minus_60
citeseer,0.2976224191788589,0.29111327851028435,0.2998040807795443,0.296873700542195,13.010675112406412,13.125546534856161,-0.006509140668574553,-0.002930380237349317,0.1148714224497489
computers,0.003747442363866746,0.007451123913075597,0.0018914875137840883,0.004898356329494248,52.47751514116923,52.03883941968282,0.0037036815492088515,0.0030068688157101602,-0.43867572148640477
cora,0.42873594855731284,0.42296784277796373,0.3391667280351361,0.3305918523216205,12.182398478190104,11.825861930847168,-0.005768105779349109,-0.008574875713515562,-0.3565365473429356
photo,0.0988527937748563,0.15242747405258605,0.038419664293784433,0.10673977857352991,24.818835020065308,25.420671542485554,0.053574680277729755,0.06832011427974548,0.6018365224202462
pubmed,0.22536236077970898,0.22276850052371908,0.17708322422032796,0.17482043683100834,80.39274557431538,79.00212542215984,-0.0025938602559898993,-0.0022627873893196204,-1.3906201521555488
