dataset,seed,condition,version,status,seconds,acc,nmi,ari,nmi_trial_std,ari_trial_std,stability_pair_nmi,si_loss,modularity,conductance_mean,conductance_weighted,pred_n_clusters,pred_cluster_size_cv,known_label_ratio,metrics_path,log_path,stderr_tail
urban_shanghai_plot,0,G17_V5_temp15,urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s0,ok,103.09537720680237,0.0332409972299169,0.014830768413915457,0.0006521611815994695,0.0,0.0,nan,15.38427448272705,0.005985099822282791,0.978966474533081,0.9781294465065002,64.0,0.13099870085716248,0.09379330277442932,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s0/urban_shanghai_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s0/urban_shanghai_plot.log,INFO - 02/19/26 22:14:41 - 0:01:40 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s0/urban_shanghai_plot_metrics.json
urban_shanghai_plot,1,G17_V5_temp15,urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s1,ok,101.17707014083862,0.03308710372422284,0.01488939910744095,0.0005615061315518573,0.0,0.0,nan,15.387099266052246,0.005098022520542145,0.9798321723937988,0.9790329933166504,64.0,0.14023402333259583,0.09379330277442932,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s1/urban_shanghai_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s1/urban_shanghai_plot.log,INFO - 02/19/26 22:16:22 - 0:01:38 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_shanghai_plot_s1/urban_shanghai_plot_metrics.json
urban_shanghai_plot,0,G15_ECHF_main,urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s0,ok,100.0101523399353,0.0332409972299169,0.014531574973237827,0.0006289189418300441,0.0,0.0,nan,15.415437698364258,0.006146680563688278,0.978797197341919,0.9779765605926514,64.0,0.13382789492607117,0.09379330277442932,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s0/urban_shanghai_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s0/urban_shanghai_plot.log,INFO - 02/19/26 22:18:02 - 0:01:37 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s0/urban_shanghai_plot_metrics.json
urban_shanghai_plot,1,G15_ECHF_main,urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s1,ok,110.19307088851929,0.03200984918436442,0.015229510005917742,0.0005954930420911734,0.0,0.0,nan,15.419050216674805,0.005108669400215149,0.979814887046814,0.9790277481079102,64.0,0.15019094944000244,0.09379330277442932,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s1/urban_shanghai_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s1/urban_shanghai_plot.log,INFO - 02/19/26 22:19:52 - 0:01:47 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_shanghai_plot_s1/urban_shanghai_plot_metrics.json
urban_singapore_plot,0,G17_V5_temp15,urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s0,ok,48.631195306777954,0.03260869565217391,0.030006080619069394,0.0006319884049702681,0.0,0.0,nan,14.092403411865234,0.0013186968863010406,0.9830692410469055,0.9829230308532715,64.0,0.06113123521208763,0.10384781658649445,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s0/urban_singapore_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s0/urban_singapore_plot.log,INFO - 02/19/26 22:20:41 - 0:00:46 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s0/urban_singapore_plot_metrics.json
urban_singapore_plot,1,G17_V5_temp15,urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s1,ok,49.47917175292969,0.03388746803069054,0.027135612864818328,6.821852684466344e-05,0.0,0.0,nan,14.08000659942627,0.004639502614736557,0.9801949858665466,0.9794551134109497,64.0,0.10435660928487778,0.10384781658649445,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s1/urban_singapore_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s1/urban_singapore_plot.log,INFO - 02/19/26 22:21:30 - 0:00:47 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_singapore_plot_s1/urban_singapore_plot_metrics.json
urban_singapore_plot,0,G15_ECHF_main,urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s0,ok,48.45148992538452,0.03484654731457801,0.030425842733362764,0.0007371599764067104,0.0,0.0,nan,14.156722068786621,0.002332698553800583,0.982175350189209,0.9819036722183228,64.0,0.07116209715604782,0.10384781658649445,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s0/urban_singapore_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s0/urban_singapore_plot.log,INFO - 02/19/26 22:22:19 - 0:00:46 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s0/urban_singapore_plot_metrics.json
urban_singapore_plot,1,G15_ECHF_main,urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s1,ok,48.11276650428772,0.03356777493606138,0.026471819031037645,-1.0790367291414622e-05,0.0,0.0,nan,14.144311904907227,0.005508909001946449,0.9794535636901855,0.9785482883453369,64.0,0.11562365293502808,0.10384781658649445,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s1/urban_singapore_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s1/urban_singapore_plot.log,INFO - 02/19/26 22:23:07 - 0:00:45 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G15_ECHF_main_urban_singapore_plot_s1/urban_singapore_plot_metrics.json
urban_sydney_plot,0,G17_V5_temp15,urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s0,ok,71.78317618370056,0.02925498946324532,0.015826543122402323,0.0010694137051169364,0.0,0.0,nan,14.773566246032715,0.002888159826397896,0.9816265106201172,0.9812622666358948,64.0,0.10195501148700714,0.16741377115249634,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s0/urban_sydney_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s0/urban_sydney_plot.log,INFO - 02/19/26 22:24:19 - 0:01:09 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s0/urban_sydney_plot_metrics.json
urban_sydney_plot,1,G17_V5_temp15,urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s1,ok,69.9565315246582,0.028263294905169208,0.011896512996985723,0.0006572517035413247,0.0,0.0,nan,14.771183967590332,0.0034989360719919205,0.9812660217285156,0.9805454611778259,64.0,0.11034488677978516,0.16741377115249634,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s1/urban_sydney_plot_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s1/urban_sydney_plot.log,INFO - 02/19/26 22:25:29 - 0:01:07 - Saved metrics to ./results/urban_echf_recheck_e60_s01_v1_G17_V5_temp15_urban_sydney_plot_s1/urban_sydney_plot_metrics.json
