condition,datasets_covered,mean_nmi,mean_ari,mean_delta_nmi_vs_baseline,mean_delta_ari_vs_baseline,win_rate_nmi_vs_baseline,win_rate_ari_vs_baseline,mean_seconds,rank_score
B5_V5_mid_no_adapt,5,0.23208631008160582,0.18569655286454734,0.06650931646826737,0.058836029629138344,0.8,0.8,33.996855147679646,0.2753347209126381
B12_V12_residual_calibrated,5,0.21863209514180965,0.1796495168773991,0.053055101528471225,0.05278899364199011,0.8,0.8,34.905136044820146,0.2609734505747697
B15_PATHB_v12_hier,5,0.21570743858287494,0.18018427792278097,0.05013044496953649,0.05332375468737196,0.8,0.8,36.01019341150919,0.2581290081726423
B17_PATHA_on_V5,5,0.21363154158387548,0.1695595944886411,0.048054547970537015,0.04269907125323211,0.8,0.8,33.920097001393636,0.25445940865852185
B16_PATHA_PATHB_v12_hier,5,0.19725981869621484,0.16130340107426192,0.03168282508287641,0.03444287783885293,0.6,0.6,35.868866205215454,0.18684925675870437
B14_PATHA_only_v1,5,0.16009185521234784,0.1271666200990878,-0.005485138400990609,0.0003060968636788043,0.4,0.4,33.46077377001444,0.09456077612856123
B0_V1_baseline,5,0.16557699361333844,0.126860523235409,0.0,0.0,0.0,0.0,33.90453952153524,0.0
