condition,dataset,n_runs_ok_e60,nmi_mean_e60,nmi_std_e60,ari_mean_e60,ari_std_e60,acc_mean_e60,nmi_trial_std_mean_e60,ari_trial_std_mean_e60,stability_pair_nmi_mean_e60,si_loss_mean_e60,modularity_mean_e60,conductance_mean_e60,conductance_weighted_mean_e60,pred_n_clusters_mean_e60,pred_cluster_size_cv_mean_e60,known_label_ratio_mean_e60,seconds_mean_e60,n_runs_ok_e20,nmi_mean_e20,nmi_std_e20,ari_mean_e20,ari_std_e20,acc_mean_e20,nmi_trial_std_mean_e20,ari_trial_std_mean_e20,stability_pair_nmi_mean_e20,si_loss_mean_e20,modularity_mean_e20,conductance_mean_e20,conductance_weighted_mean_e20,pred_n_clusters_mean_e20,pred_cluster_size_cv_mean_e20,known_label_ratio_mean_e20,seconds_mean_e20,delta_nmi_mean_e60_minus_e20,delta_ari_mean_e60_minus_e20,delta_acc_mean_e60_minus_e20,delta_nmi_std_e60_minus_e20,delta_ari_std_e60_minus_e20,delta_si_loss_mean_e60_minus_e20,delta_modularity_mean_e60_minus_e20,delta_conductance_mean_e60_minus_e20,delta_conductance_weighted_mean_e60_minus_e20,delta_seconds_mean_e60_minus_e20
G15_ECHF_main,urban_bangkok_plot,3,0.0193144046560244,0.0016004591904716,0.000249475458309,0.0001188468161444,0.0306793819767871,0.0,1.807003620809174e-20,1.0,14.700865745544434,0.0048915681739648,0.9798700412114462,0.9792473912239076,64.0,0.2026582310597101,0.0913788899779319,75.62219381332397,3,0.0189936911098222,0.0008188962248434,7.135723497290848e-05,0.0002254762055015,0.0280180379980779,0.0,5.082197683525802e-21,1.0,14.718908627827965,0.0004424216846625,0.9839313427607218,0.9838698705037436,64.0,0.0539623871445655,0.0913788899779319,28.20267645517985,0.0003207135462021983,0.00017811822333609151,0.0026613439787092005,0.0007815629656281999,-0.0001066293893571,-0.018042882283531014,0.004449146489302299,-0.004061301549275642,-0.004622479279836056,47.41951735814412
G15_ECHF_main,urban_beijing_plot,3,0.013792138091168,0.0031318411623475,0.0003674819888707,0.0003079727205232,0.0385039852851011,5.782411586589358e-19,1.807003620809174e-20,1.0,15.983476003011068,0.0058345347642898,0.9791249632835388,0.9782868226369222,64.0,0.1284908577799797,0.0835236608982086,216.22566405932108,3,0.0095933613074575,0.0002727911382755,2.5987423604841543e-05,4.0416811336403e-05,0.024770079705702,0.0,0.0,1.0,16.002604166666668,0.0005715576310952,0.983815888563792,0.9837700923283896,64.0,0.0418549639483292,0.0835236608982086,76.24380191167195,0.004198776783710499,0.0003414945652658585,0.0137339055793991,0.0028590500240719997,0.000267555909186797,-0.01912816365559955,0.0052629771331946,-0.0046909252802531665,-0.005483269691467396,139.9818621476491
G15_ECHF_main,urban_boston_plot,3,0.0508845894769976,0.003053072126584,-0.000452657039793,0.0001131807830488,0.0379332897318508,0.0,3.614007241618348e-20,1.0,12.529141426086426,0.0061580998202164,0.9791195591290792,0.9777662555376688,64.0,0.1872050513823827,0.1673049628734588,18.922858317693077,3,0.0496586841084718,0.0042575758086444,-0.00051060434191,0.0006357174252067,0.0377152823195988,0.0,4.517509052022935e-21,1.0,12.546378453572592,2.4956651031970974e-05,0.984384020169576,0.9840636452039084,64.0,0.1124171068271001,0.1673049628734588,9.295349995295206,0.0012259053685257995,5.7947302117000016e-05,0.00021800741225199566,-0.0012045036820604003,-0.0005225366421579,-0.017237027486165957,0.006133143169184429,-0.005264461040496826,-0.006297389666239606,9.62750832239787
G15_ECHF_main,urban_chicago_plot,3,0.0136437635403631,0.0009276376731234,0.0006410095575743,0.0001151382021108,0.029967103780812,5.782411586589358e-19,0.0,1.0,15.52794329325358,0.0081187343845764,0.9772611856460572,0.9758836030960084,64.0,0.1515057732661565,0.1205017492175102,92.83284974098206,3,0.0113992851360913,0.0009956983153822,4.617910384479727e-05,0.0001817743503732,0.0254607723852012,5.782411586589358e-19,4.517509052022935e-21,1.0,15.557660102844238,0.0005746018141508,0.9838075637817384,0.9837595621744792,64.0,0.0469692076245943,0.1205017492175102,36.46834246317545,0.0022444784042717995,0.0005948304537295027,0.0045063313956108,-6.806064225879985e-05,-6.663614826239999e-05,-0.029716809590658144,0.007544132570425599,-0.006546378135681152,-0.007875959078470829,56.3645072778066
G15_ECHF_main,urban_johannesburg_plot,3,0.0362510191306107,0.0022795335632328,0.0010934821469862,0.0002208176531471,0.0357506361323155,0.0,0.0,1.0,15.054558753967283,0.0071529870231946,0.977990746498108,0.9769114255905152,64.0,0.1298843845725059,0.054990030825138,73.49742325146993,3,0.0284107885670843,0.0013139802138185,-0.000154798295339,0.0002092221224969,0.0315521628498727,0.0,0.0,1.0,15.079812367757162,0.0004784365495045,0.9839208920796711,0.983847955862681,64.0,0.0491219336787859,0.054990030825138,27.848642190297443,0.0078402305635264,0.0012482804423252,0.0041984732824427995,0.0009655533494143001,1.1595530650199983e-05,-0.02525361378987867,0.006674550473690101,-0.005930145581563129,-0.006936530272165786,45.648781061172485
G15_ECHF_main,urban_madrid_plot,3,0.0101975405279355,0.001412346561103,0.0004175011124794,0.0002593106910875,0.034007267306438,5.782411586589358e-19,0.0,1.0,15.019987424214682,0.0063828496883312,0.978602429231008,0.977720061937968,64.0,0.1414968272050221,0.2143384963274002,77.55296150843303,3,0.0082020168253906,0.0003861643035206,6.376815329206002e-05,6.56480607750857e-05,0.024131184198267,0.0,0.0,1.0,15.040874481201172,6.415570775667827e-06,0.9843688011169434,0.9843118786811828,64.0,0.0512361861765384,0.2143384963274002,30.58123087882996,0.0019955237025448998,0.00035373295918733995,0.009876083108171,0.0010261822575824001,0.0001936626303124143,-0.020887056986490293,0.0063764341175555315,-0.0057663718859353175,-0.00659181674321474,46.97173062960307
G15_ECHF_main,urban_melbourne_plot,3,0.0233462555250387,0.0023412552863813,0.0009547482154577,0.0004751521533829,0.0335626433187408,2.312964634635743e-18,0.0,1.0,14.5196320215861,0.0069039979328711,0.9781490365664164,0.977142572402954,64.0,0.1368469322721163,0.1521167010068893,52.49336242675781,3,0.0170781677918931,0.0012611532161912,-3.840941370584084e-05,0.0001467853165926,0.0270307831283441,0.0,9.03501810404587e-21,1.0,14.543144861857096,0.0003684759140014,0.9840126633644104,0.9839327534039816,64.0,0.0601626150310039,0.1521167010068893,20.752533435821533,0.006268087733145598,0.0009931576291635409,0.006531860190396702,0.0010801020701901001,0.0003283668367903,-0.023512840270996094,0.0065355220188697,-0.005863626797994015,-0.006790181001027573,31.74082899093628
G15_ECHF_main,urban_paris_plot,3,0.0173857282665192,0.0014417043564808,0.0004725382981933,0.0002213394679678,0.0300695992972498,0.0,3.614007241618348e-20,1.0,12.698607762654625,0.0021295621991157,0.982307275136312,0.9820201595624288,64.0,0.1084713314970334,0.5996110439300537,17.74699091911316,3,0.0164661112479375,0.0005234591188645,3.125682068263607e-05,0.0001345114972155,0.025474694236097,0.0,9.03501810404587e-21,1.0,12.7049191792806,-8.437937746445338e-05,0.9844908912976584,0.9842542608579,64.0,0.1014469067255656,0.5996110439300537,8.885422309239706,0.0009196170185816997,0.00044128147751066395,0.004594905061152801,0.0009182452376162999,8.682797075230001e-05,-0.006311416625974786,0.002213941576580153,-0.0021836161613464355,-0.0022341012954711914,8.861568609873453
G15_ECHF_main,urban_shanghai_plot,3,0.0139319242940282,0.0013205793057814,0.0004584527823201,0.0003078652239906,0.0305735097978865,1.1564823173178713e-18,0.0,1.0,15.41855239868164,0.0051195248961448,0.979682683944702,0.9790391127268472,64.0,0.1243619297941525,0.0937933027744293,104.64840324719746,3,0.0117582968023859,0.0006201846644399,1.1730088506386767e-05,0.0001493348102104,0.0260593002975274,5.782411586589358e-19,0.0,1.0,15.43646240234375,0.0006077146778504,0.9837773243586222,0.9837254087130228,64.0,0.0512986642618974,0.0937933027744293,37.76835592587789,0.002173627491642299,0.0004467226938137132,0.0045142095003591,0.0007003946413415001,0.00015853041378019998,-0.017910003662109375,0.0045118102182944,-0.004094640413920159,-0.004686295986175648,66.88004732131958
G15_ECHF_main,urban_singapore_plot,3,0.0268710522933142,0.0018307608354793,0.0002549265569844,0.0002897823381145,0.0363384484228474,1.1564823173178713e-18,2.258754526011468e-21,1.0,14.15084966023763,0.0036899993817011,0.9811246395111084,0.9804365436236064,64.0,0.0913525248567263,0.1038478165864944,49.60226821899414,3,0.0279263160519537,0.002041455526309,0.0002261869172636,0.0002172933236075,0.0314364876385336,1.1564823173178713e-18,9.03501810404587e-21,1.0,14.163679440816244,9.183833996454876e-05,0.9843114813168844,0.9841768344243368,64.0,0.0564289316534996,0.1038478165864944,20.426064650217693,-0.0010552637586395026,2.8739639720799998e-05,0.004901960784313798,-0.00021069469082970007,7.248901450699997e-05,-0.012829780578613281,0.0035981610417365516,-0.0031868418057759973,-0.0037402908007303504,29.176203568776447
