condition,datasets_covered,mean_nmi,mean_ari,mean_delta_nmi_vs_baseline,mean_delta_ari_vs_baseline,win_rate_nmi_vs_baseline,win_rate_ari_vs_baseline,mean_seconds,rank_score
B15_ECHF_s60,3,0.09571975387539348,0.07649412896006325,0.006173774650971744,0.006276610842199309,1.0,1.0,8.229375733269585,0.25711526627730164
B15_ECHF_main,3,0.09469518025264452,0.07604816442137201,0.005149201028222787,0.005830646303508084,1.0,1.0,8.258450773027208,0.256023797973749
B0_V1_baseline,3,0.08954597922442174,0.07021751811786393,0.0,0.0,0.0,0.0,7.943818728129069,0.0
