condition,datasets_covered,mean_nmi,mean_ari,mean_delta_nmi_vs_baseline,mean_delta_ari_vs_baseline,win_rate_nmi_vs_baseline,win_rate_ari_vs_baseline,mean_seconds,rank_score
B15_ECHF_s60,3,0.1251089266534087,0.0903739365841047,0.008445102254106393,0.009061375194159796,1.0,0.6666666666666666,8.360787153244019,0.25980430853323033
B15_ECHF_main,3,0.12416881495795924,0.09015956627763778,0.007504990558656934,0.008847004887692892,1.0,0.6666666666666666,8.388675133387247,0.25883204129181087
B0_V1_baseline,3,0.1166638243993023,0.0813125613899449,0.0,0.0,0.0,0.0,8.580167531967163,0.0
