condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,seconds_mean,base_nmi,base_ari,delta_nmi_vs_baseline,delta_ari_vs_baseline
B0_V1_baseline,citeseer,3,0.0863445624066697,0.01247542097978111,0.08354080022162547,0.022118346173690663,6.5924811363220215,0.0863445624066697,0.08354080022162547,0.0,0.0
B0_V1_baseline,cora,3,0.13906608129639556,0.02272353131558945,0.10381417143303794,0.018224205121087307,6.969726959864299,0.13906608129639556,0.10381417143303794,0.0,0.0
B0_V1_baseline,photo,3,0.04322729397019994,0.07151214104554461,0.023297582698928395,0.040455537912855284,10.269248088200888,0.04322729397019994,0.023297582698928395,0.0,0.0
B15_ECHF_main,citeseer,3,0.08659431378116204,0.01225219466813691,0.08477725573005335,0.02049043320406427,6.924119075139363,0.0863445624066697,0.08354080022162547,0.0002497513744923463,0.0012364555084278805
B15_ECHF_main,cora,3,0.14537194575364887,0.029070914234143465,0.11280485774981151,0.017592057465416453,6.78282618522644,0.13906608129639556,0.10381417143303794,0.006305864457253313,0.008990686316773577
B15_ECHF_main,photo,3,0.05211928122312264,0.08138649301938139,0.03056237978425119,0.05001310142480793,11.06840705871582,0.04322729397019994,0.023297582698928395,0.0088919872529227,0.007264797085322794
B15_ECHF_s60,citeseer,3,0.08704918985313732,0.01232054003066866,0.08435234992777663,0.020148542482733817,6.842060645421346,0.0863445624066697,0.08354080022162547,0.0007046274464676261,0.0008115497061511601
B15_ECHF_s60,cora,3,0.1460143996407153,0.03052942041388917,0.11419220329671365,0.018819117435725858,6.692521254221599,0.13906608129639556,0.10381417143303794,0.006948318344319748,0.01037803186367571
B15_ECHF_s60,photo,3,0.0540956721323278,0.08067382972664625,0.03093783365569945,0.04841148665975273,11.153545300165812,0.04322729397019994,0.023297582698928395,0.010868378162127858,0.007640250956771056
