condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,acc_mean,nmi_trial_std_mean,ari_trial_std_mean,stability_pair_nmi_mean,si_loss_mean,modularity_mean,conductance_mean,conductance_weighted_mean,pred_n_clusters_mean,pred_cluster_size_cv_mean,known_label_ratio_mean,seconds_mean,base_nmi,base_ari,delta_nmi_vs_baseline,delta_ari_vs_baseline
G15_ECHF_main,urban_bangkok_plot,2,0.020374566729119914,0.0010185883919095395,0.0004460102618992546,1.292423262410312e-05,0.03337768906631182,0.0,0.0,0.0,14.702343463897705,0.004329199902713299,0.980350911617279,0.9798658788204193,64.0,0.19576895982027054,0.09137888997793198,0.0,,,,
G15_ECHF_main,urban_beijing_plot,2,0.01563926775555551,0.0017122623844912116,0.0007338614800939676,0.0001394276271168343,0.04083384426732066,0.0,0.0,0.0,15.980591297149658,0.0064183976501226425,0.9786986708641052,0.9776431024074554,64.0,0.13991214334964752,0.08352366089820862,144.42546665668488,,,,
G15_ECHF_main,urban_boston_plot,2,0.0517528798001118,0.0003023278663761901,-0.00012790309529813243,0.0003950787112336788,0.03989535644211903,0.0,0.0,0.0,12.52965497970581,0.005669688805937767,0.9799896478652954,0.9781283140182495,64.0,0.20550111681222916,0.16730496287345886,19.642589688301086,,,,
G15_ECHF_main,urban_chicago_plot,2,0.013617834735442966,0.0008233615857546406,0.0005582929930124317,0.00012402475973355192,0.028795457617953227,0.0,0.0,0.0,15.529078483581543,0.007570228539407253,0.9775386154651642,0.9765020906925201,64.0,0.142575204372406,0.12050174921751022,93.54325497150421,,,,
G15_ECHF_main,urban_johannesburg_plot,2,0.035130066670567145,0.0006649769290060347,0.0006985106481255444,0.0003164825584538026,0.035305343511450385,0.0,0.0,0.0,15.05595350265503,0.006420365534722805,0.9785927832126617,0.9777045845985413,64.0,0.11402957886457443,0.05499003082513809,72.26186454296112,,,,
G15_ECHF_main,urban_madrid_plot,2,0.010669068795667445,0.00138040922021484,0.0003894312926689944,0.00031376970850194275,0.03498555855771919,0.0,0.0,0.0,15.020862579345703,0.005452425219118595,0.9794856309890747,0.9786614179611206,64.0,0.14325569570064545,0.2143384963274002,74.85499143600464,,,,
G15_ECHF_main,urban_melbourne_plot,2,0.02112028217912197,0.0004083789304745021,0.0005873704976379194,5.043671577784835e-05,0.03324994788409422,0.0,0.0,0.0,14.52084732055664,0.005915988236665726,0.9790302217006683,0.9781148433685303,64.0,0.1430315300822258,0.15211670100688934,52.57422089576721,,,,
G15_ECHF_main,urban_paris_plot,2,0.017738843126718057,0.0007400254534177998,0.0004558316164108534,0.00027683190814138615,0.028380295965943644,0.0,0.0,0.0,12.700302600860596,0.0009452998638153076,0.9834245145320892,0.9832592308521271,64.0,0.09693325310945511,0.5996110439300537,17.78252077102661,,,,
G15_ECHF_main,urban_shanghai_plot,2,0.014880542489577785,0.0004935145944356223,0.0006122059919606087,2.3635680372617054e-05,0.03262542320714066,0.0,0.0,0.0,15.417243957519531,0.0056276749819517136,0.9793060421943665,0.9785021543502808,64.0,0.1420094221830368,0.09379330277442932,105.1016116142273,,,,
G15_ECHF_main,urban_singapore_plot,2,0.028448830882200203,0.0027959169728864293,0.0003631848045576479,0.0005288807600197531,0.0342071611253197,0.0,0.0,0.0,14.150516986846924,0.003920803777873516,0.9808144569396973,0.9802259802818298,64.0,0.09339287504553795,0.10384781658649445,48.28212821483612,,,,
G15_ECHF_main,urban_sydney_plot,2,0.016049119150622664,0.0032628963331199526,0.0013536305550548907,0.0006495427830776228,0.030432626750960704,0.0,0.0,0.0,14.853317737579346,0.005198466591536999,0.9796777665615082,0.9788754880428314,64.0,0.1306997314095497,0.16741377115249634,75.36926555633545,,,,
G15_ECHF_main,urban_tokyo_plot,2,0.0037027473374934643,0.0004197937122627721,0.00010625647725620902,6.558755422168688e-05,0.024792887452010505,0.0,0.0,0.0,15.970458984375,0.005283127538859844,0.9795607924461365,0.9788486063480377,64.0,0.16743487119674683,0.28752192854881287,129.93690371513367,,,,
G15_ECHF_main,urban_washingtondc_plot,2,0.03445711381551059,0.0019084360338991982,0.00034600672973824574,0.00022947764919463106,0.035168195718654434,0.0,0.0,0.0,13.600069046020508,0.005602803081274033,0.9796221256256104,0.9783017635345459,64.0,0.15069352090358734,0.16186115145683289,28.251803278923035,,,,
G17_V5_temp15,urban_bangkok_plot,2,0.020173928634311302,0.00046305923969004205,0.00035576792272891725,8.664162772328699e-05,0.03260146373918829,0.0,0.0,0.0,14.633898258209229,0.003511364571750164,0.9811005592346191,0.9806925356388092,64.0,0.15896464884281158,0.09137888997793198,0.0,,,,
G17_V5_temp15,urban_beijing_plot,2,0.015247989891261528,0.0014606820911038751,0.0006671670752754222,0.00012344658418985438,0.0407725321888412,0.0,0.0,0.0,15.933104038238525,0.006000221706926823,0.9790464639663696,0.9780901372432709,64.0,0.13192595541477203,0.08352366089820862,0.0,,,,
G17_V5_temp15,urban_boston_plot,2,0.05104361199393631,0.0008227483927786988,-0.00013439060524332382,0.0003415978676005402,0.03989535644211903,0.0,0.0,0.0,12.491290092468262,0.00538942776620388,0.9801605939865112,0.9784176051616669,64.0,0.1893565133213997,0.16730496287345886,18.693359851837158,,,,
G17_V5_temp15,urban_chicago_plot,2,0.012978101586394232,0.0005465792926575807,0.0003903967646442869,0.00023044164452753324,0.02784912802487495,0.0,0.0,0.0,15.472389698028564,0.007069505751132965,0.977943629026413,0.9770260453224182,64.0,0.15109845250844955,0.12050174921751022,90.46192729473114,,,,
G17_V5_temp15,urban_johannesburg_plot,2,0.034136324570834736,0.0005094607559259362,0.0005591662560750389,0.00037623693843854406,0.034923664122137404,0.0,0.0,0.0,14.965234756469727,0.005158223211765289,0.9797198474407196,0.9789957106113434,64.0,0.10456610098481178,0.05499003082513809,69.85116982460022,,,,
G17_V5_temp15,urban_madrid_plot,2,0.010579412167270392,0.0014198353167598798,0.0004018941335009572,0.00031282442884259843,0.03512531445075934,0.0,0.0,0.0,14.956811904907227,0.005001099780201912,0.9798991978168488,0.9791230261325836,64.0,0.14102334529161453,0.2143384963274002,76.76351630687714,,,,
G17_V5_temp15,urban_melbourne_plot,2,0.020644870230093537,0.0005272202079614597,0.00045153629838300965,5.867602738091803e-05,0.03179070252240984,0.0,0.0,0.0,14.458436489105225,0.005335358902812004,0.9795397520065308,0.978733241558075,64.0,0.1332700029015541,0.15211670100688934,47.6774480342865,,,,
G17_V5_temp15,urban_paris_plot,2,0.017628183438810667,0.0004976973329915631,0.0004406896629744882,0.00020865323886204583,0.028380295965943644,0.0,0.0,0.0,12.650820255279541,0.0008594309911131859,0.9835366606712341,0.9833255112171173,64.0,0.09856758266687393,0.5996110439300537,17.145517349243164,,,,
G17_V5_temp15,urban_shanghai_plot,2,0.014860083760678204,4.1458160977545504e-05,0.0006068336565756634,6.41028006374724e-05,0.03316405047706987,0.0,0.0,0.0,15.385686874389648,0.005541561171412468,0.9793993234634399,0.9785812199115753,64.0,0.13561636209487915,0.09379330277442932,102.1362236738205,,,,
G17_V5_temp15,urban_singapore_plot,2,0.02857084674194386,0.002029727214208249,0.0003501034659074658,0.00039864550385132854,0.03324808184143223,0.0,0.0,0.0,14.086205005645752,0.002979099750518799,0.9816321134567261,0.9811890721321106,64.0,0.0827439222484827,0.10384781658649445,49.05518352985382,,,,
G17_V5_temp15,urban_sydney_plot,2,0.013861528059694022,0.002778950951949495,0.0008633327043291305,0.00029144254626153546,0.028759142184207262,0.0,0.0,0.0,14.772375106811523,0.003193547949194908,0.9814462661743164,0.9809038639068604,64.0,0.10614994913339615,0.16741377115249634,70.86985385417938,,,,
G17_V5_temp15,urban_tokyo_plot,2,0.0038547255354826303,0.00023897660172197743,0.00011743968229617118,1.645020109955418e-05,0.025217215599110932,0.0,0.0,0.0,15.914565086364746,0.005025064572691917,0.9797640740871429,0.9791231751441956,64.0,0.17898312211036682,0.28752192854881287,127.12377440929413,,,,
G17_V5_temp15,urban_washingtondc_plot,2,0.03420591886474147,0.001626171649107413,0.00025988199249659034,0.00019520670015681324,0.03478593272171254,0.0,0.0,0.0,13.544259071350098,0.0049386778846383095,0.9801216721534729,0.9789674282073975,64.0,0.14519424736499786,0.16186115145683289,28.868718028068542,,,,
