condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,acc_mean,nmi_trial_std_mean,ari_trial_std_mean,stability_pair_nmi_mean,si_loss_mean,modularity_mean,conductance_mean,conductance_weighted_mean,pred_n_clusters_mean,pred_cluster_size_cv_mean,known_label_ratio_mean,seconds_mean,base_nmi,base_ari,delta_nmi_vs_baseline,delta_ari_vs_baseline
G15_ECHF_main,urban_beijing_plot,1,0.01037113500960927,0.0,-1.632440036876549e-05,0.0,0.025996321275291234,0.0,0.0,0.0,16.002479553222656,0.0005008410662412643,0.9838875532150269,0.9838290810585022,64.0,0.04624739661812782,0.08352366089820862,79.91724944114685,,,,
G15_ECHF_main,urban_chicago_plot,1,0.011082102733526845,0.0,4.502942935993798e-05,0.0,0.025821278896850073,0.0,0.0,0.0,15.556632995605469,0.0009228754788637161,0.9834683537483215,0.9834218621253967,64.0,0.044961508363485336,0.12050174921751022,36.81466341018677,,,,
G15_ECHF_main,urban_paris_plot,1,0.015872838129464103,0.0,6.143221789008391e-05,0.0,0.02574498276910602,0.0,0.0,0.0,12.705060958862305,-0.0008464930579066277,0.9853314161300659,0.9850330352783203,64.0,0.0966157615184784,0.5996110439300537,9.41843295097351,,,,
G17_V5_temp15,urban_beijing_plot,1,0.010500272802581699,0.0,-1.7021450192820094e-05,0.0,0.02587369711833231,0.0,0.0,0.0,15.95346450805664,0.00045969337224960327,0.9839340448379517,0.9838629364967346,64.0,0.04704516753554344,0.08352366089820862,75.78710603713989,,,,
G17_V5_temp15,urban_chicago_plot,1,0.011081886942505979,0.0,2.594442938028606e-05,0.0,0.02568608895498175,0.0,0.0,0.0,15.498655319213867,0.0008551981300115585,0.9835395812988281,0.9834862947463989,64.0,0.04705214872956276,0.12050174921751022,36.41812705993652,,,,
G17_V5_temp15,urban_paris_plot,1,0.015638102860405984,0.0,2.543050420621768e-05,0.0,0.02594769916886276,0.0,0.0,0.0,12.655533790588379,-0.0009172102436423302,0.9854304790496826,0.9850823879241943,64.0,0.0953051969408989,0.5996110439300537,8.623653650283813,,,,
