condition,dataset,n_runs_ok,nmi_mean,nmi_std,ari_mean,ari_std,seconds_mean
B0_V1_baseline,citeseer,3,0.10931728305016764,0.018677962378088716,0.11083612993533558,0.011560928752105848,11.591944535573324
B0_V1_baseline,computers,3,0.0046903122774387095,0.002336857112537876,0.0011135174927881547,0.0024675664876983483,47.953308979670204
B0_V1_baseline,cora,3,0.4152763670626299,0.028761988829885312,0.32083396200598985,0.03378857829658013,10.783321380615234
B0_V1_baseline,photo,3,0.08195913682992259,0.06136545711357954,0.03173908454856917,0.026161221228135585,22.97227136294047
B0_V1_baseline,pubmed,3,0.2166418688465334,0.011044040730208295,0.16977992219436222,0.021918327687857033,76.22185134887695
B12_V12_residual_calibrated,citeseer,3,0.28901765761871356,0.06403454807678223,0.29468956579922323,0.053376922773829404,12.41034166018168
B12_V12_residual_calibrated,computers,3,0.002895302397018915,0.00022283423248455994,0.0005156400803947241,0.0008097929976826741,50.10838373502096
B12_V12_residual_calibrated,cora,3,0.4247944336447113,0.05480890921656953,0.3318805399946992,0.055463945106386574,11.163885116577148
B12_V12_residual_calibrated,photo,3,0.15355250954285973,0.15881392796328672,0.09630873674174667,0.12601232915578273,24.341546614964802
B12_V12_residual_calibrated,pubmed,3,0.2229005725057448,0.02749833432327219,0.17485310177093175,0.038089352588221194,76.50152309735616
B14_PATHA_only_v1,citeseer,3,0.10290141498957228,0.024127963893370522,0.09886058922197803,0.0196654518393823,11.415657917658487
B14_PATHA_only_v1,computers,3,0.002684502328707443,0.0002756227655017141,-0.00025198155473639037,0.0005521833772471185,47.46869651476542
B14_PATHA_only_v1,cora,3,0.4162329237109426,0.018479364124157828,0.3322825887548924,0.03347667003958746,10.256637811660767
B14_PATHA_only_v1,photo,3,0.0485943812498682,0.039665622340243706,0.021097583062634245,0.01854604994471318,22.96088671684265
B14_PATHA_only_v1,pubmed,3,0.2300460537826486,0.024447879296031785,0.1838443210106707,0.02294359789821031,75.2019898891449
B15_PATHB_v12_hier,citeseer,3,0.28998810551629867,0.06254321855969042,0.2960623310006104,0.051504954347274035,12.929882208506266
B15_PATHB_v12_hier,computers,3,0.004088423347015813,0.001910795684955186,0.0004671038140876361,0.0014418240150388135,51.184438149134316
B15_PATHB_v12_hier,cora,3,0.4325960366342792,0.06039780001528466,0.3428263268304461,0.060089534610423545,11.961586713790894
B15_PATHB_v12_hier,photo,3,0.12953007875322065,0.15529219890504908,0.08707752512126081,0.1265749254422827,25.29104010264079
B15_PATHB_v12_hier,pubmed,3,0.22233454866356037,0.027316430306654402,0.1744881028474998,0.037885254902787054,78.68401988347371
B16_PATHA_PATHB_v12_hier,citeseer,3,0.26890153805701894,0.07468239693786007,0.26423258421150025,0.06171888828834189,13.029072364171347
B16_PATHA_PATHB_v12_hier,computers,3,0.002874386616752725,0.0006430808064983052,6.719546048851364e-05,0.0018088237873983841,51.69715976715088
B16_PATHA_PATHB_v12_hier,cora,3,0.43442732899296715,0.030033062646866997,0.33785164990178934,0.03476275487998326,12.225568691889444
B16_PATHA_PATHB_v12_hier,photo,3,0.04506883296854861,0.0670143057207935,0.016922285498058336,0.02634889697081213,25.18109655380249
B16_PATHA_PATHB_v12_hier,pubmed,3,0.2350270068457868,0.023853323828831027,0.18744329029947315,0.023533312520725352,77.21143364906311
B17_PATHA_on_V5,citeseer,3,0.29509995115251236,0.04309837958805313,0.2749467424679177,0.052725976774218676,11.773318688074747
B17_PATHA_on_V5,computers,3,0.0017410896190215757,0.00020513583894348817,8.353254535628215e-05,0.0001399841630793014,49.4010481039683
B17_PATHA_on_V5,cora,3,0.43798520676545066,0.04112138522418056,0.3460961549592338,0.0405920111258903,10.659600416819254
B17_PATHA_on_V5,photo,3,0.09263910478595727,0.07868960422922035,0.0342179271106841,0.03045726048915786,23.39574925104777
B17_PATHA_on_V5,pubmed,3,0.2406923555964354,0.015724564714757906,0.19245361536001362,0.016470460823782666,74.3707685470581
B5_V5_mid_no_adapt,citeseer,3,0.2932041919711997,0.0317467838902718,0.27302517536386156,0.04239712515207739,12.002278566360474
B5_V5_mid_no_adapt,computers,3,0.001721660411745025,0.0002618581008111309,5.839939761332192e-05,0.00016149404955955328,48.47344390551249
B5_V5_mid_no_adapt,cora,3,0.4496297197274512,0.029840692098011247,0.3617696891726246,0.04284694312760327,10.593589623769125
B5_V5_mid_no_adapt,photo,3,0.19317899028154562,0.17369528395106326,0.12220984937125993,0.13209211425804743,23.25995620091756
B5_V5_mid_no_adapt,pubmed,3,0.22269698801608753,0.021044967009668902,0.1714196510173773,0.02814646708277301,75.65500744183858
