dataset,best_condition_by_nmi,nmi_mean,ari_mean,acc_mean,si_loss_mean,modularity_mean,conductance_mean,conductance_weighted_mean,delta_nmi_vs_baseline,delta_ari_vs_baseline
urban_bangkok_plot,G15_ECHF_main,0.020374566729119914,0.0004460102618992546,0.03337768906631182,14.702343463897705,0.004329199902713299,0.980350911617279,0.9798658788204193,,
urban_beijing_plot,G15_ECHF_main,0.01563926775555551,0.0007338614800939676,0.04083384426732066,15.980591297149658,0.0064183976501226425,0.9786986708641052,0.9776431024074554,,
urban_boston_plot,G15_ECHF_main,0.0517528798001118,-0.00012790309529813243,0.03989535644211903,12.52965497970581,0.005669688805937767,0.9799896478652954,0.9781283140182495,,
urban_chicago_plot,G15_ECHF_main,0.013617834735442966,0.0005582929930124317,0.028795457617953227,15.529078483581543,0.007570228539407253,0.9775386154651642,0.9765020906925201,,
urban_johannesburg_plot,G15_ECHF_main,0.035130066670567145,0.0006985106481255444,0.035305343511450385,15.05595350265503,0.006420365534722805,0.9785927832126617,0.9777045845985413,,
urban_madrid_plot,G15_ECHF_main,0.010669068795667445,0.0003894312926689944,0.03498555855771919,15.020862579345703,0.005452425219118595,0.9794856309890747,0.9786614179611206,,
urban_melbourne_plot,G15_ECHF_main,0.02112028217912197,0.0005873704976379194,0.03324994788409422,14.52084732055664,0.005915988236665726,0.9790302217006683,0.9781148433685303,,
urban_paris_plot,G15_ECHF_main,0.017738843126718057,0.0004558316164108534,0.028380295965943644,12.700302600860596,0.0009452998638153076,0.9834245145320892,0.9832592308521271,,
urban_shanghai_plot,G15_ECHF_main,0.014880542489577785,0.0006122059919606087,0.03262542320714066,15.417243957519531,0.0056276749819517136,0.9793060421943665,0.9785021543502808,,
urban_singapore_plot,G17_V5_temp15,0.02857084674194386,0.0003501034659074658,0.03324808184143223,14.086205005645752,0.002979099750518799,0.9816321134567261,0.9811890721321106,,
urban_sydney_plot,G15_ECHF_main,0.016049119150622664,0.0013536305550548907,0.030432626750960704,14.853317737579346,0.005198466591536999,0.9796777665615082,0.9788754880428314,,
urban_tokyo_plot,G17_V5_temp15,0.0038547255354826303,0.00011743968229617118,0.025217215599110932,15.914565086364746,0.005025064572691917,0.9797640740871429,0.9791231751441956,,
urban_washingtondc_plot,G15_ECHF_main,0.03445711381551059,0.00034600672973824574,0.035168195718654434,13.600069046020508,0.005602803081274033,0.9796221256256104,0.9783017635345459,,
