condition,datasets_covered,mean_nmi,mean_ari,mean_delta_nmi_vs_baseline,mean_delta_ari_vs_baseline,win_rate_nmi_vs_baseline,win_rate_ari_vs_baseline,mean_seconds,rank_score
G15_default_hetero,13,0.004052893086865053,2.2010840078155463e-06,,,0.0,0.0,27.347785589022514,
G15_noadapt_hetero,13,0.004048279055948961,2.2320847594345356e-06,,,0.0,0.0,27.1981441791241,
G17_temp1p5_mainline,13,0.004032959108966951,2.0508900290750732e-06,,,0.0,0.0,21.123789243209053,
