dataset,best_condition_by_nmi,nmi_mean,ari_mean,delta_nmi_vs_baseline,delta_ari_vs_baseline
citeseer,B15_ECHF_s60,0.0729175522515872,0.07389691296998403,0.00042958992788180717,-0.002934342546810867
cora,B15_ECHF_s60,0.15696322154579267,0.11189987905915597,0.01484010352367926,0.023679871143463566
photo,B15_ECHF_s60,0.14544600616284623,0.08532501772317408,0.010065613310758115,0.006438596985826689
