dataset,seed,condition,version,status,seconds,nmi,ari,metrics_path,log_path,stderr_tail
cora,0,B0_V1_baseline,benchmark_echf_smoke_v1_B0_V1_baseline_cora_s0,ok,8.47441053390503,0.14212311802211341,0.0882200079156924,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B0_V1_baseline_cora_s0/cora_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B0_V1_baseline_cora_s0/cora.log,INFO - 02/19/26 20:26:19 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v1_B0_V1_baseline_cora_s0/cora_metrics.json
cora,0,B15_ECHF_s60,benchmark_echf_smoke_v1_B15_ECHF_s60_cora_s0,ok,6.719330072402954,0.15696322154579267,0.11189987905915597,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_s60_cora_s0/cora_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_s60_cora_s0/cora.log,INFO - 02/19/26 20:26:26 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v1_B15_ECHF_s60_cora_s0/cora_metrics.json
cora,0,B15_ECHF_main,benchmark_echf_smoke_v1_B15_ECHF_main_cora_s0,ok,6.711436033248901,0.15475781128701893,0.10912845988042011,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_main_cora_s0/cora_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_main_cora_s0/cora.log,INFO - 02/19/26 20:26:32 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v1_B15_ECHF_main_cora_s0/cora_metrics.json
citeseer,0,B0_V1_baseline,benchmark_echf_smoke_v1_B0_V1_baseline_citeseer_s0,ok,6.497994899749756,0.0724879623237054,0.0768312555167949,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B0_V1_baseline_citeseer_s0/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B0_V1_baseline_citeseer_s0/citeseer.log,INFO - 02/19/26 20:26:39 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v1_B0_V1_baseline_citeseer_s0/citeseer_metrics.json
citeseer,0,B15_ECHF_s60,benchmark_echf_smoke_v1_B15_ECHF_s60_citeseer_s0,ok,6.826290607452393,0.0729175522515872,0.07389691296998403,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_s60_citeseer_s0/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_s60_citeseer_s0/citeseer.log,INFO - 02/19/26 20:26:46 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v1_B15_ECHF_s60_citeseer_s0/citeseer_metrics.json
citeseer,0,B15_ECHF_main,benchmark_echf_smoke_v1_B15_ECHF_main_citeseer_s0,ok,6.887794494628906,0.07253391516985698,0.073981531362627,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_main_citeseer_s0/citeseer_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_main_citeseer_s0/citeseer.log,INFO - 02/19/26 20:26:53 - 0:00:04 - Saved metrics to ./results/benchmark_echf_smoke_v1_B15_ECHF_main_citeseer_s0/citeseer_metrics.json
photo,0,B0_V1_baseline,benchmark_echf_smoke_v1_B0_V1_baseline_photo_s0,ok,10.768097162246704,0.1353803928520881,0.07888642073734739,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B0_V1_baseline_photo_s0/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B0_V1_baseline_photo_s0/photo.log,INFO - 02/19/26 20:27:03 - 0:00:08 - Saved metrics to ./results/benchmark_echf_smoke_v1_B0_V1_baseline_photo_s0/photo_metrics.json
photo,0,B15_ECHF_s60,benchmark_echf_smoke_v1_B15_ECHF_s60_photo_s0,ok,11.536740779876709,0.14544600616284623,0.08532501772317408,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_s60_photo_s0/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_s60_photo_s0/photo.log,INFO - 02/19/26 20:27:15 - 0:00:09 - Saved metrics to ./results/benchmark_echf_smoke_v1_B15_ECHF_s60_photo_s0/photo_metrics.json
photo,0,B15_ECHF_main,benchmark_echf_smoke_v1_B15_ECHF_main_photo_s0,ok,11.566794872283936,0.14521471841700181,0.08736870758986626,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_main_photo_s0/photo_metrics.json,/home/aitx/workspace/projects/edge-enhanced-unsupervised-graph-neural-network-clustering/results/benchmark_echf_smoke_v1_B15_ECHF_main_photo_s0/photo.log,INFO - 02/19/26 20:27:27 - 0:00:09 - Saved metrics to ./results/benchmark_echf_smoke_v1_B15_ECHF_main_photo_s0/photo_metrics.json
